FECHA,LINEA,TURNO,EQUIPO,DAÑO,RAZON,TIEMPO,FRECUENCIA,AÑO,MES,,,,,,
22/03/2024,Krupp No1,,SOPLADORA KRUPP N°1,Daño en sistema bomba de vacio,Daño en sistema bomba de vacio,28,1,2024,MARZO,,22/03/2024,Krupp No1,SOPLADORA KRUPP N°1,Daño en sistema bomba de vacio,Daño en sistema bomba de vacio
22/03/2024,Krupp No1,,SOPLADORA KRUPP N°1,Falla en reja derecha,Desajuste de reja en riel,45,1,2024,MARZO,,22/03/2024,Krupp No1,SOPLADORA KRUPP N°1,Falla en reja derecha,Desajuste de reja en riel
22/03/2024,,,,Limpieza de cabezal por fuga de material,Limpieza de cabezal,34,1,2024,MARZO,,22/03/2024,Krupp No1,SOPLADORA KRUPP N°1,Limpieza de cabezal por fuga de material,Limpieza de cabezal
22/03/2024,Krupp No2,,SISTEMA DE VACIO,Daño sistema de vacio,Daño en sistema de vacio,40,1,2024,MARZO,,22/03/2024,Krupp No2,SISTEMA DE VACIO,Daño sistema de vacio,Daño en sistema de vacio
22/03/2024,Krupp No2,,SOPLADORA KRUPP N°2,Falla reja de seguridad izquierda,Desajuste de sensor en reja,20,1,2024,MARZO,,22/03/2024,Krupp No2,SOPLADORA KRUPP N°2,Falla reja de seguridad izquierda,Desajuste de sensor en reja
22/03/2024,SBO2F,,SOPLADORA SBO2F,Daño cilindro de fondo puesto 2,Rotura de vástago en cilindro,121,1,2024,MARZO,,22/03/2024,SBO2F,SOPLADORA SBO2F,Daño cilindro de fondo puesto 2,Rotura de vástago en cilindro
23/03/2024,Krupp No1,,SISTEMA DE VACIO,Daño sistema de vacio,Daño mecánico en bomba de vacio,283,1,2024,MARZO,,23/03/2024,Krupp No1,SISTEMA DE VACIO,Daño sistema de vacio,Daño mecánico en bomba de vacio
23/03/2024,,,,Limpieza de cabezal por fuga de material,Limpieza de cabezal,25,1,2024,MARZO,,23/03/2024,Krupp No1,SISTEMA DE VACIO,Limpieza de cabezal por fuga de material,Limpieza de cabezal
23/03/2024,Krupp No2,,SOPLADORA KRUPP N°2,Daño sistema de vacio,Daño sistema de vacio,420,1,2024,MARZO,,23/03/2024,Krupp No2,SOPLADORA KRUPP N°2,Daño sistema de vacio,Daño sistema de vacio
24/03/2024,Jabonería Barranquilla,,BOMBA DE VACIO L1,PROBLEMAS CON BOMBA TERMICO,"PROBLEMAS CON BOMBA TÉRMICO, BOMBA ATASCADA.",85,1,2024,MARZO,,24/03/2024,Jabonería Barranquilla,BOMBA DE VACIO L1,PROBLEMAS CON BOMBA TERMICO,"PROBLEMAS CON BOMBA TÉRMICO, BOMBA ATASCADA."
24/03/2024,,,,Limpieza de cabezal por fuga de material,Limpieza de cabezal,44,2,2024,MARZO,,24/03/2024,Jabonería Barranquilla,BOMBA DE VACIO L1,Limpieza de cabezal por fuga de material,Limpieza de cabezal
24/03/2024,Linea 1 Sólidos Barranquilla,,PERFECTOR L1,FUGA EN PERFECTOR,SELLO MECANICO AVERIADO,140,1,2024,MARZO,,24/03/2024,Linea 1 Sólidos Barranquilla,PERFECTOR L1,FUGA EN PERFECTOR,SELLO MECANICO AVERIADO
24/03/2024,Refinación Física Gianazza,,CALDERA WANSON (H9301),no arranca,bajo nivel agua en el tk de expansión,286,1,2024,MARZO,,24/03/2024,Refinación Física Gianazza,CALDERA WANSON (H9301),no arranca,bajo nivel agua en el tk de expansión
25/03/2024,Jabonería Barranquilla,,BANDA TRANSPORTADORA DE CAJAS LLENAS,BANDA CON AVERIA EN LA TRASMISIÓN,DESGASTE EN CADENA Y PIÑONERIA DE LA BANDA,150,1,2024,MARZO,,25/03/2024,Jabonería Barranquilla,BANDA TRANSPORTADORA DE CAJAS LLENAS,BANDA CON AVERIA EN LA TRASMISIÓN,DESGASTE EN CADENA Y PIÑONERIA DE LA BANDA
25/03/2024,Jabonería Barranquilla,,SELLADORA DE CAJAS L1,BANDA ATASCADA,AVERIA EN RODAMIENTO DE LA BANDA LATERAL DERECHA,100,1,2024,MARZO,,25/03/2024,Jabonería Barranquilla,SELLADORA DE CAJAS L1,BANDA ATASCADA,AVERIA EN RODAMIENTO DE LA BANDA LATERAL DERECHA
25/03/2024,Krupp No1,,SOPLADORA KRUPP N°1,Falla reja de seguridad derecha,Desajuste de riel,35,1,2024,MARZO,,25/03/2024,Krupp No1,SOPLADORA KRUPP N°1,Falla reja de seguridad derecha,Desajuste de riel
25/03/2024,,,,Limpieza de cabezal por fuga de material,Limpieza de cabezal,57,2,2024,MARZO,,25/03/2024,Krupp No1,SOPLADORA KRUPP N°1,Limpieza de cabezal por fuga de material,Limpieza de cabezal
25/03/2024,Linea 5 Litros-4 boquillas,,CODIFICADOR DE CAJAS A3,FALLA CODIFICADOR,FALLO EN CABEZAL DE TINTA,52,1,2024,MARZO,,25/03/2024,Linea 5 Litros-4 boquillas,CODIFICADOR DE CAJAS A3,FALLA CODIFICADOR,FALLO EN CABEZAL DE TINTA
25/03/2024,Refinación Física Gianazza,,BOMBA DEL BLANQUEADOR CONTINUO (P3263),pérdida de presión,obstrucción posible en la succión,30,1,2024,MARZO,,25/03/2024,Refinación Física Gianazza,BOMBA DEL BLANQUEADOR CONTINUO (P3263),pérdida de presión,obstrucción posible en la succión
26/03/2024,Krupp No1,,SOPLADORA KRUPP N°1,Fuga de aire en ensanchador,Rotura de manguera,16,1,2024,MARZO,,26/03/2024,Krupp No1,SOPLADORA KRUPP N°1,Fuga de aire en ensanchador,Rotura de manguera
26/03/2024,,,,Limpieza de cabezal por fuga de material,Limpieza de cabezal,20,1,2024,MARZO,,26/03/2024,Krupp No1,SOPLADORA KRUPP N°1,Limpieza de cabezal por fuga de material,Limpieza de cabezal
26/03/2024,Linea 1 Sólidos Barranquilla,,TUBERIAS Y/O JUNTAS FLEXIBLES DE PROCESO,Chaquetas sistema agua caliente obstruidas con mat,Chaquetas sistema agua caliente obstruidas con material sólido,450,1,2024,MARZO,,26/03/2024,Linea 1 Sólidos Barranquilla,TUBERIAS Y/O JUNTAS FLEXIBLES DE PROCESO,Chaquetas sistema agua caliente obstruidas con mat,Chaquetas sistema agua caliente obstruidas con material sólido
26/03/2024,Linea 1 Sólidos Barranquilla,,TUBERIAS Y/O JUNTAS FLEXIBLES DE PROCESO,Chaquetas sistema agua caliente obstruidas con mat,Chaquetas sistema agua caliente obstruidas con material sólido-lodo,330,1,2024,MARZO,,26/03/2024,Linea 1 Sólidos Barranquilla,TUBERIAS Y/O JUNTAS FLEXIBLES DE PROCESO,Chaquetas sistema agua caliente obstruidas con mat,Chaquetas sistema agua caliente obstruidas con material sólido-lodo
27/03/2024,,,,Limpieza de cabezal por fuga de material,Limpieza de cabezal,47,2,2024,MARZO,,27/03/2024,Linea 1 Sólidos Barranquilla,TUBERIAS Y/O JUNTAS FLEXIBLES DE PROCESO,Limpieza de cabezal por fuga de material,Limpieza de cabezal
27/03/2024,Linea 1 Sólidos Barranquilla,,PERFECTOR L1,fuga de producto sección 1 perfector,fuga de producto sección 1 perfector,300,1,2024,MARZO,,27/03/2024,Linea 1 Sólidos Barranquilla,PERFECTOR L1,fuga de producto sección 1 perfector,fuga de producto sección 1 perfector
28/03/2024,Krupp No1,,SOPLADORA KRUPP N°1,Daño reja izquierda,Desajuste de tornillos en cilindro neumático de reja,120,1,2024,MARZO,,28/03/2024,Krupp No1,SOPLADORA KRUPP N°1,Daño reja izquierda,Desajuste de tornillos en cilindro neumático de reja
28/03/2024,,,,Limpieza de cabezal por fuga de material,Limpieza de cabezal,71,3,2024,MARZO,,28/03/2024,Krupp No1,SOPLADORA KRUPP N°1,Limpieza de cabezal por fuga de material,Limpieza de cabezal
28/03/2024,Linea 1 Sólidos Barranquilla,,PERFECTOR L1,fuga de producto sección 1 del perfector,fuga de producto sección 1 del perfector,32,1,2024,MARZO,,28/03/2024,Linea 1 Sólidos Barranquilla,PERFECTOR L1,fuga de producto sección 1 del perfector,fuga de producto sección 1 del perfector
28/03/2024,Refinación Física Gianazza,,CALDERA WANSON (H9301),no arranca,bajo nivel agua caldera Wanson,281,1,2024,MARZO,,28/03/2024,Refinación Física Gianazza,CALDERA WANSON (H9301),no arranca,bajo nivel agua caldera Wanson
29/03/2024,,,,Limpieza de cabezal por fuga de material,Limpieza de cabezal,56,2,2024,MARZO,,29/03/2024,Refinación Física Gianazza,CALDERA WANSON (H9301),Limpieza de cabezal por fuga de material,Limpieza de cabezal
29/03/2024,Linea 1 Sólidos Barranquilla,,SELLADORA DE CAJAS L1,TORNILLO SINFIN PARA APERTURA DE BANDAS LATERALES,EL EJUSTE DE LA APERTURA DE LAS BANDAS ESTA DESCENTRADO,40,1,2024,MARZO,,29/03/2024,Linea 1 Sólidos Barranquilla,SELLADORA DE CAJAS L1,TORNILLO SINFIN PARA APERTURA DE BANDAS LATERALES,EL EJUSTE DE LA APERTURA DE LAS BANDAS ESTA DESCENTRADO
30/03/2024,,,,Limpieza de cabezal por fuga de material,Limpieza de cabezal,96,3,2024,MARZO,,30/03/2024,Linea 1 Sólidos Barranquilla,SELLADORA DE CAJAS L1,Limpieza de cabezal por fuga de material,Limpieza de cabezal
30/03/2024,Refinación Física Gianazza,,BOMBA DEL BLANQUEADOR CONTINUO (P3263),no levanta presión,succión obstruida (piedras),70,1,2024,MARZO,,30/03/2024,Refinación Física Gianazza,BOMBA DEL BLANQUEADOR CONTINUO (P3263),no levanta presión,succión obstruida (piedras)
30/03/2024,Refinación Física Gianazza,,CALDERA WANSON (H9301),EQUIPO NO ENCIENDE,EQUIPO NO ENCIENDE,30,1,2024,MARZO,,30/03/2024,Refinación Física Gianazza,CALDERA WANSON (H9301),EQUIPO NO ENCIENDE,EQUIPO NO ENCIENDE
30/03/2024,Refinación Física Gianazza,,CALDERA WANSON (H9301),no arranca,nivel bajo de agua en tk de expansión caldera Wanson,358,1,2024,MARZO,,30/03/2024,Refinación Física Gianazza,CALDERA WANSON (H9301),no arranca,nivel bajo de agua en tk de expansión caldera Wanson
31/03/2024,SBO2F,,SOPLADORA SBO2F,Fuga de agua por conector de molde puesto 2,Conector de agua desajustado,18,1,2024,MARZO,,31/03/2024,SBO2F,SOPLADORA SBO2F,Fuga de agua por conector de molde puesto 2,Conector de agua desajustado
02/04/2024,Krupp No1,,SOPLADORA KRUPP N°1,Falla motorreductor de banda transporte de bidones,Se dispara disyuntor en varias ocasiones,32,1,2024,ABRIL,,02/04/2024,Krupp No1,SOPLADORA KRUPP N°1,Falla motorreductor de banda transporte de bidones,Se dispara disyuntor en varias ocasiones
02/04/2024,Krupp No2,,SOPLADORA KRUPP N°2,Falla de motorreductor de banda transporte de bido,Se dispara disyuntor en varias ocasiones,69,1,2024,ABRIL,,02/04/2024,Krupp No2,SOPLADORA KRUPP N°2,Falla de motorreductor de banda transporte de bido,Se dispara disyuntor en varias ocasiones
03/04/2024,,,,Limpieza de cabezal,Limpieza de cabezal,45,1,2024,ABRIL,,03/04/2024,Krupp No2,SOPLADORA KRUPP N°2,Limpieza de cabezal,Limpieza de cabezal
03/04/2024,Krupp No2,,SOPLADORA KRUPP N°2,Daño en cilindro neumático del ensanchador,Rotura de base del cilindro neumático,138,1,2024,ABRIL,,03/04/2024,Krupp No2,SOPLADORA KRUPP N°2,Daño en cilindro neumático del ensanchador,Rotura de base del cilindro neumático
03/04/2024,SBO2F,,SOPLADORA SBO2F,Falla de tobera puesto 2,Daño en bobina de electroválvula de tobera,48,1,2024,ABRIL,,03/04/2024,SBO2F,SOPLADORA SBO2F,Falla de tobera puesto 2,Daño en bobina de electroválvula de tobera
03/04/2024,SBO2F,,SOPLADORA SBO2F,Falla de tobera puesto 2,Sube lento por empaques en mal estado en tobera,100,1,2024,ABRIL,,03/04/2024,SBO2F,SOPLADORA SBO2F,Falla de tobera puesto 2,Sube lento por empaques en mal estado en tobera
03/04/2024,SBO2F,,SOPLADORA SBO2F,Falla en tobera puesto 2,Falla en bobina eléctrica de electroválvula,90,1,2024,ABRIL,,03/04/2024,SBO2F,SOPLADORA SBO2F,Falla en tobera puesto 2,Falla en bobina eléctrica de electroválvula
04/04/2024,Krupp No1,,SOPLADORA KRUPP N°1,Falla sensor en chiller ALFRIO,Falla sensor del chiller,150,1,2024,ABRIL,,04/04/2024,Krupp No1,SOPLADORA KRUPP N°1,Falla sensor en chiller ALFRIO,Falla sensor del chiller
04/04/2024,,,,Limpieza de cabezal,Limpieza de cabezal,58,2,2024,ABRIL,,04/04/2024,Krupp No1,SOPLADORA KRUPP N°1,Limpieza de cabezal,Limpieza de cabezal
04/04/2024,Linea 1 Sólidos Barranquilla,,COMPRESOR VILTER No2,FALLO VILTER 2,FALLO VILTER 2,30,1,2024,ABRIL,,04/04/2024,Linea 1 Sólidos Barranquilla,COMPRESOR VILTER No2,FALLO VILTER 2,FALLO VILTER 2
04/04/2024,SBO2F,,SOPLADORA SBO2F,Falla en molde 1420ml,Se encuentra con rebaba en la boca del molde maltratando la preforma,117,1,2024,ABRIL,,04/04/2024,SBO2F,SOPLADORA SBO2F,Falla en molde 1420ml,Se encuentra con rebaba en la boca del molde maltratando la preforma
05/04/2024,Krupp No1,,SOPLADORA KRUPP N°1,Falla motorreductor de banda transporte de bidones,Disparo en disyuntor de motorreductor de la banda,35,1,2024,ABRIL,,05/04/2024,Krupp No1,SOPLADORA KRUPP N°1,Falla motorreductor de banda transporte de bidones,Disparo en disyuntor de motorreductor de la banda
05/04/2024,,,,Limpieza de cabezal,Limpieza del cabezal,20,1,2024,ABRIL,,05/04/2024,Krupp No1,SOPLADORA KRUPP N°1,Limpieza de cabezal,Limpieza del cabezal
05/04/2024,Krupp No2,,SOPLADORA KRUPP N°2,Daño en tolva de la máquina,Caída de tolva por rotura de tornillos de sujeción,235,1,2024,ABRIL,,05/04/2024,Krupp No2,SOPLADORA KRUPP N°2,Daño en tolva de la máquina,Caída de tolva por rotura de tornillos de sujeción
05/04/2024,Krupp No2,,SOPLADORA KRUPP N°2,Falla motorreductor de banda transporte de bidones,Disyuntor se dispara en varias ocasiones por recalentamiento,100,1,2024,ABRIL,,05/04/2024,Krupp No2,SOPLADORA KRUPP N°2,Falla motorreductor de banda transporte de bidones,Disyuntor se dispara en varias ocasiones por recalentamiento
05/04/2024,Linea 1 Sólidos Barranquilla,,BOMBA VPLUS COMPRESOR VILTER 2,DAÑO EN SELLO MECANICO,DAÑO EN SELLO MECANICO,260,1,2024,ABRIL,,05/04/2024,Linea 1 Sólidos Barranquilla,BOMBA VPLUS COMPRESOR VILTER 2,DAÑO EN SELLO MECANICO,DAÑO EN SELLO MECANICO
05/04/2024,Linea 1 Sólidos Barranquilla,,COMPRESOR VILTER No2,FUGA DE AMONIACO POR SELLO MECANICO BOMBA V-PLUS,FUGA DE AMONIACO POR SELLO MECANICO BOMBA V-PLUS,210,1,2024,ABRIL,,05/04/2024,Linea 1 Sólidos Barranquilla,COMPRESOR VILTER No2,FUGA DE AMONIACO POR SELLO MECANICO BOMBA V-PLUS,FUGA DE AMONIACO POR SELLO MECANICO BOMBA V-PLUS
05/04/2024,Linea 1 Sólidos Barranquilla,,COMPRESOR VILTER No2,fallo equipo,fallo equipo,20,1,2024,ABRIL,,05/04/2024,Linea 1 Sólidos Barranquilla,COMPRESOR VILTER No2,fallo equipo,fallo equipo
06/04/2024,,,,Limpieza de cabezal,Limpieza de cabezal,80,3,2024,ABRIL,,06/04/2024,Linea 1 Sólidos Barranquilla,COMPRESOR VILTER No2,Limpieza de cabezal,Limpieza de cabezal
07/04/2024,Krupp No1,,SOPLADORA KRUPP N°1,Falla motorreductor de banda transporte de bidones,Se dispara disyuntor de motorreductor en tres ocasiones,64,1,2024,ABRIL,,07/04/2024,Krupp No1,SOPLADORA KRUPP N°1,Falla motorreductor de banda transporte de bidones,Se dispara disyuntor de motorreductor en tres ocasiones
07/04/2024,,,,Limpieza de cabezal,Limpieza de cabezal,91,2,2024,ABRIL,,07/04/2024,Krupp No1,SOPLADORA KRUPP N°1,Limpieza de cabezal,Limpieza de cabezal
07/04/2024,Krupp No2,,SOPLADORA KRUPP N°2,Falla en electroválvula de ensanchador neumático,Falso contacto en conector de la electroválvula,45,1,2024,ABRIL,,07/04/2024,Krupp No2,SOPLADORA KRUPP N°2,Falla en electroválvula de ensanchador neumático,Falso contacto en conector de la electroválvula
07/04/2024,Krupp No2,,SOPLADORA KRUPP N°2,Falla motorreductor de banda transporte de bidones,Se dispara disyuntor en varias ocasiones por alta temperatura,52,1,2024,ABRIL,,07/04/2024,Krupp No2,SOPLADORA KRUPP N°2,Falla motorreductor de banda transporte de bidones,Se dispara disyuntor en varias ocasiones por alta temperatura
07/04/2024,Linea 1 Sólidos Barranquilla,,COMPRESOR VILTER No2,Falla de la válvula del capacidad del compresor vi,Falla de la válvula del capacidad del compresor vilter,210,1,2024,ABRIL,,07/04/2024,Linea 1 Sólidos Barranquilla,COMPRESOR VILTER No2,Falla de la válvula del capacidad del compresor vi,Falla de la válvula del capacidad del compresor vilter
07/04/2024,Linea 1 Sólidos Barranquilla,,PERFECTOR L1,Falla en eje del perfector sección 1,Falla en eje del perfector sección 1,390,2,2024,ABRIL,,07/04/2024,Linea 1 Sólidos Barranquilla,PERFECTOR L1,Falla en eje del perfector sección 1,Falla en eje del perfector sección 1
07/04/2024,Linea 1 Sólidos Barranquilla,,PERFECTOR L1,Prueba de perfector por temas de fuga,Prueba de perfector por temas de fuga,19,1,2024,ABRIL,,07/04/2024,Linea 1 Sólidos Barranquilla,PERFECTOR L1,Prueba de perfector por temas de fuga,Prueba de perfector por temas de fuga
08/04/2024,,,,Limpieza de cabezal,Limpieza de cabezal,50,2,2024,ABRIL,,08/04/2024,Linea 1 Sólidos Barranquilla,PERFECTOR L1,Limpieza de cabezal,Limpieza de cabezal
08/04/2024,Krupp No2,,SOPLADORA KRUPP N°2,Falso sensor de reja izquierda,Falso contacto del sensor,36,1,2024,ABRIL,,08/04/2024,Krupp No2,SOPLADORA KRUPP N°2,Falso sensor de reja izquierda,Falso contacto del sensor
08/04/2024,Linea 1 Sólidos Barranquilla,,COMPRESOR VILTER No2,fallo en válvula de capacidad,fallo en válvula de capacidad,80,1,2024,ABRIL,,08/04/2024,Linea 1 Sólidos Barranquilla,COMPRESOR VILTER No2,fallo en válvula de capacidad,fallo en válvula de capacidad
08/04/2024,Linea 1 Sólidos Barranquilla,,COMPRESOR VILTER No2,fallo válvula de capacidad,fallo válvula de capacidad,225,1,2024,ABRIL,,08/04/2024,Linea 1 Sólidos Barranquilla,COMPRESOR VILTER No2,fallo válvula de capacidad,fallo válvula de capacidad
08/04/2024,Linea 1 Sólidos Barranquilla,,PERFECTOR L1,fuga perfector sección 1,fuga perfector sección 1,120,1,2024,ABRIL,,08/04/2024,Linea 1 Sólidos Barranquilla,PERFECTOR L1,fuga perfector sección 1,fuga perfector sección 1
08/04/2024,Linea 1 Sólidos Barranquilla,,PERFECTOR L1,fuga sección 1 perfector,fuga seccipon 1 perfector,130,1,2024,ABRIL,,08/04/2024,Linea 1 Sólidos Barranquilla,PERFECTOR L1,fuga sección 1 perfector,fuga seccipon 1 perfector
09/04/2024,Krupp No1,,SOPLADORA KRUPP N°1,Falla anillo de corte en calibrador,Se hace cambio de anillo de corte por bidón no conforme en boca,50,1,2024,ABRIL,,09/04/2024,Krupp No1,SOPLADORA KRUPP N°1,Falla anillo de corte en calibrador,Se hace cambio de anillo de corte por bidón no conforme en boca
09/04/2024,Krupp No1,,SOPLADORA KRUPP N°1,Falla en válvula hidráulica de seguridad,Presenta baja presión por obstrucción,240,1,2024,ABRIL,,09/04/2024,Krupp No1,SOPLADORA KRUPP N°1,Falla en válvula hidráulica de seguridad,Presenta baja presión por obstrucción
09/04/2024,,,,Limpieza de cabezal,Limpieza de cabezal,60,2,2024,ABRIL,,09/04/2024,Krupp No1,SOPLADORA KRUPP N°1,Limpieza de cabezal,Limpieza de cabezal
09/04/2024,Linea 1 Sólidos Barranquilla,,COMPRESOR VILTER No2,Falla de compresor vilter 2,Alta temperatura de aceite,120,1,2024,ABRIL,,09/04/2024,Linea 1 Sólidos Barranquilla,COMPRESOR VILTER No2,Falla de compresor vilter 2,Alta temperatura de aceite
09/04/2024,Linea 1 Sólidos Barranquilla,,LLENADORA DE BLOQUES L1,pin partido del pistón dosificador máquina de vaso,pin partido del pistón dosificador máquina de vasos,180,1,2024,ABRIL,,09/04/2024,Linea 1 Sólidos Barranquilla,LLENADORA DE BLOQUES L1,pin partido del pistón dosificador máquina de vaso,pin partido del pistón dosificador máquina de vasos
09/04/2024,Linea 1 Sólidos Barranquilla,,PERFECTOR L1,fuga de producto en sección 1,fuga de producto en sección 1,200,1,2024,ABRIL,,09/04/2024,Linea 1 Sólidos Barranquilla,PERFECTOR L1,fuga de producto en sección 1,fuga de producto en sección 1
09/04/2024,Refinación Física Gianazza,,BOMBA DEL BLANQUEADOR CONTINUO (P3263),pérdida de presión,desmonte y revisión de impulsor,209,1,2024,ABRIL,,09/04/2024,Refinación Física Gianazza,BOMBA DEL BLANQUEADOR CONTINUO (P3263),pérdida de presión,desmonte y revisión de impulsor
10/04/2024,A2,,BANDA TRANSP. DE ENTRADA A LLENADORA DE ENVASES A2,Falla en motor de la banda de la llenadora A2,Falla en motor de la banda de la llenadora A2,30,1,2024,ABRIL,,10/04/2024,A2,BANDA TRANSP. DE ENTRADA A LLENADORA DE ENVASES A2,Falla en motor de la banda de la llenadora A2,Falla en motor de la banda de la llenadora A2
10/04/2024,,,,Limpieza de cabezal,Limpieza de cabezal,59,3,2024,ABRIL,,10/04/2024,A2,BANDA TRANSP. DE ENTRADA A LLENADORA DE ENVASES A2,Limpieza de cabezal,Limpieza de cabezal
11/04/2024,,,,Limpieza de cabezal,Limpieza de cabezal,67,2,2024,ABRIL,,11/04/2024,A2,BANDA TRANSP. DE ENTRADA A LLENADORA DE ENVASES A2,Limpieza de cabezal,Limpieza de cabezal
11/04/2024,SBO2F,,SOPLADORA SBO2F,Cambio de pantalla de la máquina,Cambio de pantalla de la máquina por una nueva,214,1,2024,ABRIL,,11/04/2024,SBO2F,SOPLADORA SBO2F,Cambio de pantalla de la máquina,Cambio de pantalla de la máquina por una nueva
11/04/2024,SBO6,,SOPLADORA SBO6,Daño amortiguadores de estirados puestos 1 y 4,Presentan amortiguador en mal estado,35,1,2024,ABRIL,,11/04/2024,SBO6,SOPLADORA SBO6,Daño amortiguadores de estirados puestos 1 y 4,Presentan amortiguador en mal estado
11/04/2024,SBO6,,SOPLADORA SBO6,Falla electroválvula de tobera puesto 4,No presopla las botellas,40,1,2024,ABRIL,,11/04/2024,SBO6,SOPLADORA SBO6,Falla electroválvula de tobera puesto 4,No presopla las botellas
11/04/2024,SBO6,,SOPLADORA SBO6,Falla junta de aire,La junta de aire perdió su posición y la guía presenta golpe,120,1,2024,ABRIL,,11/04/2024,SBO6,SOPLADORA SBO6,Falla junta de aire,La junta de aire perdió su posición y la guía presenta golpe
11/04/2024,SBO6,,SOPLADORA SBO6,Fallo codificador/sensor paso de máquina,Junta de aire perdió su posición,47,1,2024,ABRIL,,11/04/2024,SBO6,SOPLADORA SBO6,Fallo codificador/sensor paso de máquina,Junta de aire perdió su posición
12/04/2024,Krupp No2,,SOPLADORA KRUPP N°2,Falla eléctrica en postizo,Rele eléctrico en mal estado,90,1,2024,ABRIL,,12/04/2024,Krupp No2,SOPLADORA KRUPP N°2,Falla eléctrica en postizo,Rele eléctrico en mal estado
12/04/2024,Linea 1 Sólidos Barranquilla,,PERFECTOR L1,Mtto de cilindro del perfector sección 1,Mtto de cilindro del perfector sección 1,290,1,2024,ABRIL,,12/04/2024,Linea 1 Sólidos Barranquilla,PERFECTOR L1,Mtto de cilindro del perfector sección 1,Mtto de cilindro del perfector sección 1
12/04/2024,Refinación Física Gianazza,,DOSIFICADOR DE TIERRA N°2 (DS3262),ATASCAMIENTO DEL TORNILLO DOSIFICADOR,DAÑOS MECANICOS EN RODAMIENTOS,105,1,2024,ABRIL,,12/04/2024,Refinación Física Gianazza,DOSIFICADOR DE TIERRA N°2 (DS3262),ATASCAMIENTO DEL TORNILLO DOSIFICADOR,DAÑOS MECANICOS EN RODAMIENTOS
12/04/2024,Refinación Física Gianazza,,DOSIFICADOR DE TIERRA N°2 (DS3262),EQUIPO FUERA DE OPERACION,EQUIPO ATASCADO,255,1,2024,ABRIL,,12/04/2024,Refinación Física Gianazza,DOSIFICADOR DE TIERRA N°2 (DS3262),EQUIPO FUERA DE OPERACION,EQUIPO ATASCADO
12/04/2024,SBO6,,SOPLADORA SBO6,Esfuerzo leva cierre molde puesto 4,Dificultad en cierre de molde puesto 4,30,1,2024,ABRIL,,12/04/2024,SBO6,SOPLADORA SBO6,Esfuerzo leva cierre molde puesto 4,Dificultad en cierre de molde puesto 4
12/04/2024,SBO6,,SOPLADORA SBO6,Falla electyroválvula de presoplado puesto 1,Botella defectuosa por falla del presoplado,140,1,2024,ABRIL,,12/04/2024,SBO6,SOPLADORA SBO6,Falla electyroválvula de presoplado puesto 1,Botella defectuosa por falla del presoplado
12/04/2024,SBO6,,SOPLADORA SBO6,Falla eléctrica contactor lampara infrarroja zona,Se dispara breaker en tablero eléctrico,60,1,2024,ABRIL,,12/04/2024,SBO6,SOPLADORA SBO6,Falla eléctrica contactor lampara infrarroja zona,Se dispara breaker en tablero eléctrico
12/04/2024,SBO6,,SOPLADORA SBO6,Montaje de electroválvula de presoplado nueva en p,Montaje y prueba de presoplado,59,1,2024,ABRIL,,12/04/2024,SBO6,SOPLADORA SBO6,Montaje de electroválvula de presoplado nueva en p,Montaje y prueba de presoplado
13/04/2024,,,,Limpieza de cabezal,Limpieza de cabezal,23,1,2024,ABRIL,,13/04/2024,SBO6,SOPLADORA SBO6,Limpieza de cabezal,Limpieza de cabezal
13/04/2024,,,,Limpieza de cabezal,"Limpieza de cabezal, dos veces",69,1,2024,ABRIL,,13/04/2024,SBO6,SOPLADORA SBO6,Limpieza de cabezal,"Limpieza de cabezal, dos veces"
13/04/2024,Krupp No2,,SOPLADORA KRUPP N°2,Falla blower en zona 4 del barril,"Temperatura fuera de rango, se cambia blower y ok",15,1,2024,ABRIL,,13/04/2024,Krupp No2,SOPLADORA KRUPP N°2,Falla blower en zona 4 del barril,"Temperatura fuera de rango, se cambia blower y ok"
13/04/2024,Refinación Física Gianazza,,CALDERA WANSON (H9301),EQUIPO NO ENCIENDE,EQUIPO SIN AGUA PARA OPERACIÓN,354,1,2024,ABRIL,,13/04/2024,Refinación Física Gianazza,CALDERA WANSON (H9301),EQUIPO NO ENCIENDE,EQUIPO SIN AGUA PARA OPERACIÓN
13/04/2024,Refinación Física Gianazza,,CALDERA WANSON (H9301),FALLAS EN EL ARRANQUE DE LA CALDERA,FALLAS EN LA APERTURA DEL DAMPER,80,1,2024,ABRIL,,13/04/2024,Refinación Física Gianazza,CALDERA WANSON (H9301),FALLAS EN EL ARRANQUE DE LA CALDERA,FALLAS EN LA APERTURA DEL DAMPER
13/04/2024,SBO6,,SOPLADORA SBO6,Falla codificador/sensor paso de máquina,Junta de aire pierde su posición,89,1,2024,ABRIL,,13/04/2024,SBO6,SOPLADORA SBO6,Falla codificador/sensor paso de máquina,Junta de aire pierde su posición
13/04/2024,SBO6,,SOPLADORA SBO6,Falla codificador/sensor paso de máquina,Junta de aire pierde su posición inicial,119,2,2024,ABRIL,,13/04/2024,SBO6,SOPLADORA SBO6,Falla codificador/sensor paso de máquina,Junta de aire pierde su posición inicial
14/04/2024,Krupp No1,,SOPLADORA KRUPP N°1,Rotura de tornillos en tensor de cadena apertura y,Se parten tornillos de sujeción,50,1,2024,ABRIL,,14/04/2024,Krupp No1,SOPLADORA KRUPP N°1,Rotura de tornillos en tensor de cadena apertura y,Se parten tornillos de sujeción
