FECHA,LINEA,TURNO,EQUIPO,DAÑO,RAZON,TIEMPO,FRECUENCIA,AÑO,MES,,,,,,
07/01/2024,Linea 1 Sólidos Barranquilla,,TABLERO ELÉCTRICO PRINCIPAL DE LOS COMPRESORES VIL,BAJONDE L FLUIDO ELECTRICO AL ARRANCAR EL COMPRESO,BAJONDE L FLUIDO ELECTRICO AL ARRANCAR EL COMPRESOR,45,1,2024,ENERO,,07/01/2024,Linea 1 Sólidos Barranquilla,TABLERO ELÉCTRICO PRINCIPAL DE LOS COMPRESORES VIL,BAJONDE L FLUIDO ELECTRICO AL ARRANCAR EL COMPRESO,BAJONDE L FLUIDO ELECTRICO AL ARRANCAR EL COMPRESOR
08/01/2024,A2,,BANDAS TRANSP. DE ENVASE - CEDIS,DISPARO DE TERMICO EN PUENTE,DISPARO DE TERMICO EN PUENTE,3,1,2024,ENERO,,08/01/2024,A2,BANDAS TRANSP. DE ENVASE - CEDIS,DISPARO DE TERMICO EN PUENTE,DISPARO DE TERMICO EN PUENTE
08/01/2024,Jabonería Barranquilla,,COMPRESORA N°3 L1,OPER,DESGASTE EN TORNILLOS EXTRUSORES DE LA COMPRESORA 3,161,1,2024,ENERO,,08/01/2024,Jabonería Barranquilla,COMPRESORA N°3 L1,OPER,DESGASTE EN TORNILLOS EXTRUSORES DE LA COMPRESORA 3
08/01/2024,SBO6,,SOPLADORA SBO6,Intervención sincronización y calibración de máqui,Intervención sincronización y calibración de máquinas,318,1,2024,ENERO,,08/01/2024,SBO6,SOPLADORA SBO6,Intervención sincronización y calibración de máqui,Intervención sincronización y calibración de máquinas
09/01/2024,Jabonería Barranquilla,,COMPRESORA N°3 L1,DESGASTE DE TORNILLO,DESGASTE EN LOS TORNILLOS DE LA COMPRESORA,60,1,2024,ENERO,,09/01/2024,Jabonería Barranquilla,COMPRESORA N°3 L1,DESGASTE DE TORNILLO,DESGASTE EN LOS TORNILLOS DE LA COMPRESORA
09/01/2024,Jabonería Barranquilla,,COMPRESORA N°3 L1,condensación en la tercera compresora,cambio de tornillos extrusores,163,1,2024,ENERO,,09/01/2024,Jabonería Barranquilla,COMPRESORA N°3 L1,condensación en la tercera compresora,cambio de tornillos extrusores
09/01/2024,SBO6,,SOPLADORA SBO6,ajuste sincronismo de la maquina,ajuste sincronismo de la maquina,702,3,2024,ENERO,,09/01/2024,SBO6,SOPLADORA SBO6,ajuste sincronismo de la maquina,ajuste sincronismo de la maquina
10/01/2024,A2,,ENCARTONADORA A2,fallo sensor dosificador de cartón,fallo sensor dosificador de cartón,15,1,2024,ENERO,,10/01/2024,A2,ENCARTONADORA A2,fallo sensor dosificador de cartón,fallo sensor dosificador de cartón
10/01/2024,Jabonería Barranquilla,,BOMBA DE ALIMENTACIÓN L1,"Variador a 60hz, flujo bajo.",Prensas de la bomba flojos.,80,1,2024,ENERO,,10/01/2024,Jabonería Barranquilla,BOMBA DE ALIMENTACIÓN L1,"Variador a 60hz, flujo bajo.",Prensas de la bomba flojos.
10/01/2024,Jabonería Barranquilla,,COMPRESORA N°3 L1,DESGASTE DE TORNILLO,DESGASTE EN LOS TORNILLOS DE LA COMPRESORA,90,1,2024,ENERO,,10/01/2024,Jabonería Barranquilla,COMPRESORA N°3 L1,DESGASTE DE TORNILLO,DESGASTE EN LOS TORNILLOS DE LA COMPRESORA
